DBXSVN,Filename,SVN value,GUID used,Revocation list date
01612B139DD5598843AB1C185C3CB2EB92000002000000000000000000000000,bootmgfw.efi,2.0,{9d132b61-59d5-4388-1cab-185c3cb2eb92} == EFI_BOOTMGR_DBXSVN_GUID,9-Apr
019D2EF8E827E15841A4884C18ABE2F284000002000000000000000000000000,cdboot.efi,2.0,{e8f82e9d-e127-4158-88a4-4c18abe2f284} == EFI_CDBOOT_DBXSVN_GUID,9-Apr
01C2CA99C9FE7F6F4981279E2A8A535976000002000000000000000000000000,wdsmgfw.efi,2.0,{c999cac2-7ffe-496f-2781-9e2a8a535976} == EFI_WDSMGR_DBXSVN_GUID,9-Apr
